at,al,an,re,er_mean,er_median,er_mode,er_q1,er_q3,in_mean,in_median,in_mode,in_q1,in_q3,ti_mean,ti_median,ti_mode,ti_q1,ti_q3,on_mean,on_median,on_mode,on_q1,on_q3,es_mean,es_median,es_mode,es_q1,es_q3,te_mean,te_median,te_mode,te_q1,te_q3,en_mean,en_median,en_mode,en_q1,en_q3,is_mean,is_median,is_mode,is_q1,is_q3,ic_mean,ic_median,ic_mode,ic_q1,ic_q3,ri_mean,ri_median,ri_mode,ri_q1,ri_q3,ra_mean,ra_median,ra_mode,ra_q1,ra_q3
"[-8247332096.0, 488082944.0, 296091136.0, -471062908.5405405, 1898376725.5316827]","[144011008.0, 567830016.0, 207915776.0, 249894539.63636363, 113226610.23425521]","[96025088.0, 271645952.0, 176038144.0, 179379215.05882353, 40757573.66330064]","[216064000.0, 536783104.0, 265753856.0, 282381300.8695652, 65442690.378760956]",-14935735040.0,304131840.0,232082944.0,-1072090624.0,3533671401.307361,183772160.0,328141056.0,239927040.0,241100364.1081081,35719384.29881291,-624160000.0,271961856.0,120098048.0,-126393600.0,396073802.0306859,183438080.0,856093952.0,236061952.0,269029248.0,145546657.93937093,-10680315904.0,456104192.0,255407872.0,-2507657984.0,3870137199.436631,232067072.0,399703040.0,278263040.0,282247078.95652175,42462271.15474972,96464128.0,263770880.0,183963136.0,179291299.84,39471211.80701961,-13671542016.0,255620864.0,-2439499008.0,-4302114742.857142,4680970928.058458,-4408354048.0,200217856.0,-2311677952.0,-1809416806.4,1774248404.5937655,-3136726784.0,247543040.0,180485376.0,-493117280.0,1239132978.852978,279927808.0,279927808.0,279927808.0,279927808.0,279927808.0
"[-1431875072.0, 463649792.0, 312383360.0, 135930485.33333334, 456567565.2372879]","[159996160.0, 271610112.0, 224061056.0, 217074944.0, 37537919.92401139]","[120064000.0, 432032000.0, 183890944.0, 196209192.96, 62971393.171095446]","[-1012857856.0, 831912192.0, 267740032.0, 254615504.0, 254510341.32041895]",207654912.0,288654848.0,243710592.0,242671436.8,22833730.931198627,184140032.0,303998976.0,240215040.0,239259553.1851852,31451969.899051674,-27199836160.0,865182976.0,-324024960.0,-5555877017.6,9049835923.096104,184084992.0,303304960.0,223902208.0,229322076.16,27680274.971342213,-5552888064.0,671908864.0,247162880.0,-749497502.4761904,1818639961.8337214,-3967671808.0,343890944.0,263730944.0,-81699152.0,1072354306.2544991,134886912.0,255940096.0,192090880.0,185620066.46153846,32980491.85276141,-17833665024.0,319844864.0,-1179628032.0,-3418786033.7777777,5163073016.914291,119395072.0,360083968.0,187817856.0,215071648.0,92787928.08988445,-13055768832.0,223309056.0,-4544909056.0,-5150678579.2,5126397792.650097,-3455341056.0,-3455341056.0,-3455341056.0,-3455341056.0,-3455341056.0
"[-7328152064.0, 752115968.0, 307628032.0, -376958681.6, 1826472278.5427701]","[120436992.0, 920224000.0, 207620480.0, 268856601.6, 221906125.40558586]","[144148224.0, 359836160.0, 199213056.0, 218787840.0, 74407519.59551165]","[-888706048.0, 592026880.0, 239977984.0, 122180562.8235294, 354684751.2940517]",215726080.0,319513856.0,235029888.0,243561456.0,26770899.893316697,176032000.0,271203072.0,231833856.0,223930999.46666667,25337192.81035167,-5056307200.0,296201984.0,-1055910016.0,-1763838208.0,2015364782.456491,191976960.0,256620032.0,227653376.0,229771904.0,18723939.3239428,231921152.0,346164992.0,268064512.0,268259776.0,33956353.2631293,-3861239040.0,319798016.0,255791104.0,-461636754.28571427,1423216853.8997755,142764032.0,639565056.0,183969024.0,236165120.0,141234818.7579174,191790848.0,248181248.0,223912960.0,222899968.0,17998641.60748454,136027904.0,208016896.0,137129984.0,160391594.66666666,33679178.93298174,-521649987477.41656,-521649987477.41656,-521649987477.41656,-521649987477.41656,-521649987477.41656,437367040.0,437367040.0,437367040.0,437367040.0,437367040.0
"[-5906754048.0, 2539636992.0, 208040192.0, -33690946.06451613, 1450092247.780587]","[-592200679936.0, 442113024.0, 207258112.0, -22779921578.666668, 106189477722.64627]","[-34027821056.0, 613410816.0, 205452032.0, -1110772796.952381, 5485703014.982566]","[-2671659008.0, 359160064.0, 200634880.0, -168136218.25641027, 778733499.4914498]",-95785369088.0,633658880.0,234525056.0,-5943684313.6,16119294312.788101,-21459942912.0,1126701056.0,212014080.0,-941479644.6896552,3893058679.4239955,-52447934976.0,479560192.0,-6827406848.0,-14071772685.473684,16688169115.484684,-18752069888.0,852539904.0,235690368.0,-702307365.6470588,3606672568.949816,-37639283200.0,659204096.0,299772416.0,-4159976101.647059,8078533657.559581,-1906159872.0,689363968.0,196548864.0,74749317.12,450954344.8687403,-32939286016.0,815590912.0,193828608.0,-2493190331.076923,7444116056.887728,-45167462912.0,376561152.0,111916032.0,-5088912621.037037,9642733421.795408,-45848009984.0,315915008.0,266744576.0,-4345355366.4,13834265456.65227,-46721817856.0,-2735756032.0,-21461156992.0,-21928708896.0,13750606745.721272,-8309692928.0,368777984.0,-5500998144.0,-4734199259.428572,3093693723.530169
"[169349120.0, 1119767040.0, 225198592.0, 362428467.2, 295164554.4706123]","[199218176.0, 2036370176.0, 217550848.0, 481999030.85714287, 635019588.2179445]","[159291136.0, 275074048.0, 198994944.0, 211309195.63636363, 33158129.49063323]","[-846522112.0, 450859008.0, 282519040.0, 108888203.63636364, 398687468.2161776]",240378112.0,726967808.0,269148928.0,308223146.6666667,116008981.63897917,268979968.0,1349211136.0,319881984.0,392792432.64,248873437.0442204,162372096.0,1747241216.0,387533440.0,526243811.5555556,368086353.1266489,306881024.0,358577920.0,331385088.0,331370666.6666667,15149173.439107375,-27469860864.0,1050381824.0,-2044989952.0,-5625601043.692307,8453080673.158146,213172992.0,1100730880.0,250421248.0,410423040.0,345573904.35576695,147521024.0,437351936.0,232276096.0,258775120.0,85800040.48399605,-18401390848.0,504009984.0,-1628421504.0,-3876566509.714286,5327113960.181157,286537984.0,496189184.0,293422848.0,358716672.0,97248372.75336875,-8999572224.0,268259072.0,212286976.0,-1908039232.0,3494467535.818643,417146880.0,2116094976.0,761876992.0,1014248960.0,672504971.7217336
"[160256768.0, 456385024.0, 212459392.0, 246884096.0, 75786558.65118796]","[151304960.0, 454983936.0, 195927040.0, 229818567.1111111, 86258060.91870649]","[127687936.0, 248986880.0, 206277120.0, 204857014.85714287, 35892330.14778956]","[148520192.0, 611808000.0, 273521152.0, 273951601.7777778, 132200909.63205202]",248071168.0,307623936.0,272455424.0,273037750.85714287,18711340.515114747,264379904.0,468762880.0,312652800.0,327689569.52380955,48918226.43269215,147112960.0,2355311104.0,383376512.0,584801920.0,606751786.970183,274024960.0,493129984.0,342047744.0,356950134.15384614,56766497.49012897,-19471128064.0,434653952.0,328822528.0,-2483013606.4,5940805219.134417,144282112.0,259063040.0,218777984.0,207832160.0,35120781.92911041,161424128.0,300275968.0,212012032.0,221729264.94117647,35559992.9571927,-16993508864.0,740768000.0,-7001879040.0,-6449994358.153846,6889850832.529788,324463872.0,369316096.0,346889984.0,346889984.0,22426112.0,203638016.0,894461952.0,262734080.0,399111424.0,239178114.91310868,395176960.0,759079168.0,470372096.0,518461388.8,126937496.60387857
"[-6857076992.0, 636465152.0, 210937856.0, -379180603.0769231, 1896930376.3280115]","[176336128.0, 399083008.0, 214962944.0, 230582606.76923078, 58031897.891424485]","[148060160.0, 815389952.0, 177028096.0, 279676435.6923077, 222730513.53417617]","[157912064.0, 346225152.0, 246189568.0, 243634144.0, 58597460.81574143]",228367872.0,465334016.0,283555072.0,289864820.3636364,51079997.12714535,266125056.0,1135208960.0,316944128.0,372951673.2631579,187649261.75296614,137723904.0,704718848.0,412547456.0,433333248.0,161316962.68422738,288084992.0,387816960.0,314576512.0,324688192.0,29074382.309423488,-11632802048.0,333195008.0,307619840.0,-2885813387.6363635,4583075871.674391,127526144.0,473379072.0,214856192.0,224366216.53333333,73199854.66697094,180252160.0,442692864.0,210744064.0,234897718.85714287,73398680.89076596,-13795431936.0,269177088.0,-6846758912.0,-6005891446.153846,5416322547.543218,244050944.0,244050944.0,244050944.0,244050944.0,244050944.0,178404096.0,925718016.0,216140032.0,350203033.6,288308523.1621098,-12208278016.0,568057088.0,438840064.0,-2056606976.0,5076059686.592584
"[111412992.0, 317376000.0, 134515456.0, 174592096.0, 77867679.40553102]","[131662080.0, 228026880.0, 172182016.0, 181426944.0, 40281520.57100889]","[128262912.0, 303171072.0, 187450496.0, 192885518.2222222, 41602226.01977296]","[191653120.0, 360097024.0, 226778880.0, 240917924.57142857, 44825811.3572546]",200452864.0,435881984.0,298761984.0,308082270.31578946,54251130.861871034,152009984.0,708068864.0,215192064.0,242311213.17647058,125681738.7643458,-9118974976.0,463454976.0,227918080.0,-986097696.0,3085936222.3570924,135087872.0,467564032.0,175684864.0,196359047.52941176,72609334.99471548,-9768334080.0,381998848.0,298283008.0,-1217659318.857143,3498598209.460525,196251136.0,466147072.0,255912960.0,265263655.3846154,69438726.40869142,127537920.0,217801984.0,174054016.0,180882201.6,29734854.43266278,-36786251008.0,550727936.0,222103040.0,-3426014826.6666665,10160401556.640894,163992832.0,273044992.0,220659968.0,218660352.0,42773472.58389596,156582144.0,240398848.0,177901056.0,188195776.0,31819836.526620686,202155008.0,318546944.0,260350976.0,260350976.0,58195968.0
"[127877888.0, 394728960.0, 137554432.0, 214690986.66666666, 114492810.28998142]","[115942912.0, 251911936.0, 174047488.0, 173946752.0, 44591805.82874869]","[136147968.0, 298576896.0, 174301568.0, 185127056.0, 49175409.72438188]","[163811072.0, 378233088.0, 242784512.0, 243607658.66666666, 51040871.691598095]",200029952.0,378134016.0,309396992.0,306275031.57894737,40113158.44115033,109003008.0,260203008.0,198172544.0,195513799.1111111,34877658.06631697,-744894976.0,719351040.0,-122907008.0,-96814976.0,493710890.26779276,110880000.0,498329088.0,183543936.0,200405191.1111111,82645970.4900991,-4158892800.0,425110784.0,292684032.0,-588560018.2857143,1364719260.2730525,164056832.0,349462016.0,279628032.0,265924821.33333334,57548169.75482494,112009984.0,279548928.0,185308928.0,185209437.0909091,40988439.20495284,-3925521920.0,314447872.0,226140032.0,-379390192.0,1288149731.3228858,136462848.0,325658880.0,204460032.0,217730673.7777778,59322542.47496554,-5167352832.0,246854144.0,-2460249344.0,-2460249344.0,2707103488.0,334350848.0,432231168.0,374161920.0,380247978.6666667,40190540.706292085
"[-165233152.0, 667336192.0, 195369984.0, 241441389.7142857, 236603441.3901658]","[95439104.0, 553840128.0, 179053056.0, 240044117.33333334, 139529985.5745874]","[95811072.0, 234364160.0, 184651008.0, 177150057.4117647, 34201845.17469673]","[200178176.0, 372408064.0, 242403968.0, 251564944.0, 48052208.51007454]",252459008.0,872148992.0,324264064.0,368114204.4444444,140460109.4552423,144289024.0,570354944.0,186637440.0,212754633.14285713,102628266.19962706,265504000.0,331706112.0,274027008.0,292525465.6,28889147.9027764,148850176.0,256420864.0,176765184.0,189540590.93333334,29116391.33400251,-15293502976.0,336754944.0,63509504.0,-1862796434.2857144,4213119374.699928,193133056.0,477124864.0,310483456.0,303217609.14285713,75858118.35667856,150916096.0,409602048.0,161895936.0,201367125.33333334,77700577.40861335,-7918493184.0,909933056.0,238908160.0,-736542020.2666667,2372924808.8402967,168443904.0,237982976.0,207745536.0,207665493.33333334,23213106.633163907,171662080.0,258266112.0,214964096.0,214964096.0,43302016.0,324342016.0,340786944.0,329099008.0,331409322.6666667,6909514.195443716
"[-11087947008.0, 271972864.0, -419966080.0, -2373464422.4, 4261285438.12378]","[167872000.0, 703497984.0, 312033024.0, 375874104.8888889, 180457670.56709144]","[216037888.0, 280013824.0, 259959424.0, 254001792.0, 20988171.807815183]","[247966976.0, 584097024.0, 312029568.0, 324017685.3333333, 87795537.70072713]",-13191254016.0,768088064.0,304239104.0,-688468086.1538461,3611492340.486953,208054016.0,751930112.0,295953920.0,318552564.8695652,121229133.83496055,159888896.0,1032132096.0,376066944.0,471415488.0,276448075.1066605,271933952.0,615948800.0,356222464.0,397579340.8,116184583.16524544,303782912.0,2040045824.0,351691008.0,699114137.6,673317821.0056388,175951104.0,447848960.0,251845120.0,281846048.0,94792671.69315434,168001792.0,1807785984.0,268062592.0,445292394.6666667,440331713.5658136,-52909321984.0,1079842816.0,287986048.0,-8975689702.4,16762586825.64297,192055040.0,240050944.0,207974016.0,212013504.0,18314006.171613242,-6167778048.0,528391168.0,272042496.0,-452973344.0,2164182721.2573814,134693980584.6222,134693980584.6222,134693980584.6222,134693980584.6222,134693980584.6222
"[199750144.0, 328307968.0, 248056064.0, 259567725.7142857, 39938140.49293303]","[207757824.0, 616027904.0, 271971840.0, 356504795.4285714, 154989138.71722913]","[183796224.0, 352050944.0, 272002432.0, 265592294.4, 46508464.49406725]","[270931968.0, 336093184.0, 292123008.0, 298036330.6666667, 20533940.1307535]",-27805801984.0,1127977984.0,303995904.0,-2147190122.6666667,7786944797.862097,247460096.0,479906048.0,303867904.0,315481437.09090906,60059741.72851003,288026112.0,496016128.0,392021120.0,392021120.0,103995008.0,279728128.0,392154880.0,311956992.0,315358390.85714287,35622807.806733884,320220928.0,871979008.0,407934848.0,525311232.0,217783148.49517524,143796224.0,791943936.0,256382976.0,307698269.09090906,170893863.61092204,192237056.0,263751936.0,215878144.0,219173222.4,23910244.33428043,-7655609856.0,416188928.0,247979776.0,-338446557.8666667,1980692905.3509655,207976960.0,256354048.0,247915008.0,237415338.66666666,21099256.747129608,215968000.0,600198144.0,316562944.0,350851968.0,124818341.7840786,303980032.0,303980032.0,303980032.0,303980032.0,303980032.0
"[135990016.0, 368066816.0, 271983488.0, 269496971.6363636, 58074021.650157854]","[88819968.0, 287479040.0, 175992448.0, 184678464.0, 63647064.506841205]","[72400896.0, 247932928.0, 163984000.0, 161446741.33333334, 36386838.97019344]","[159976960.0, 351318016.0, 215686144.0, 217133387.29411766, 42384067.87483412]",136187136.0,383983872.0,191990016.0,212875337.14285713,62132376.02275016,112333056.0,256124160.0,160081920.0,176040006.62068966,35797507.979458556,95585024.0,272760064.0,255904000.0,214346035.2,65582464.98705518,119860992.0,240093952.0,159677952.0,163063808.0,32248514.856804695,247369984.0,519977984.0,279819520.0,302246988.8,76185255.08421278,167409920.0,415505920.0,243512064.0,245730560.0,58239544.04273385,128260096.0,415620864.0,176716032.0,198281337.2631579,62010054.42312926,127969024.0,544998912.0,196108032.0,219163229.0909091,91438021.54957175,183945984.0,247886848.0,200128512.0,208022464.0,26529636.164665055,191966976.0,1383198976.0,216612864.0,352908629.3333333,365639334.44414794,255864064.0,9567355904.0,2247939968.0,3579774976.0,3801936618.66157
"[255385088.0, 655346944.0, 287922944.0, 358074982.4, 150153250.32245663]","[175796992.0, 1504025088.0, 268052864.0, 458648149.3333333, 469454769.7435227]","[128036096.0, 279951104.0, 191924992.0, 191111021.7142857, 36937629.82572651]","[168008960.0, 319938048.0, 223983104.0, 236978609.23076922, 49038094.70607035]",151989248.0,287941120.0,184384000.0,195756441.6,34318419.469260946,120091136.0,352150016.0,172115456.0,186838035.69230768,54496204.5601596,104044032.0,320055040.0,199908864.0,198300569.6,73895120.36613889,136106240.0,312104960.0,176009984.0,187090274.46153846,48597177.33127662,255886080.0,368119040.0,287877120.0,299537554.28571427,42904292.63636163,207936000.0,376172032.0,264020992.0,283242828.8,60275026.752069056,135236096.0,208296960.0,159984896.0,164691404.8,24357970.874787338,103952128.0,775851008.0,207791488.0,262234624.0,183111927.03482273,152046848.0,152046848.0,152046848.0,152046848.0,152046848.0,151812096.0,207855104.0,192002048.0,184436224.0,20715594.484097432,288007936.0,304758016.0,298028032.0,296931328.0,6882023.188438702
"[304030976.0, 375351808.0, 343874048.0, 341085610.6666667, 29183292.09627204]","[160581888.0, 255998976.0, 222498432.0, 211629824.0, 33151103.758902106]","[167770112.0, 304039168.0, 191991040.0, 213947840.0, 52945809.436457425]","[168295168.0, 295971840.0, 232133504.0, 232133504.0, 63838336.0]",175941888.0,335278080.0,203915008.0,229370325.33333334,54649776.65888507,134962176.0,215632896.0,163929984.0,165842240.0,23238168.927917536,104254976.0,222832896.0,139939456.0,151741696.0,43643851.39754227,152768000.0,351610112.0,183533056.0,207984640.0,72730007.0338149,240006912.0,335259136.0,304067840.0,293111296.0,39650817.028610274,247942144.0,519938048.0,287936512.0,335938304.0,109831023.18481554,152022016.0,392052992.0,212173056.0,237347370.66666666,81773471.47332391,159885824.0,567836928.0,216219008.0,253149696.0,123025353.8010568,160201984.0,511977984.0,224104960.0,298761642.6666667,153007197.5302546,520152064.0,520152064.0,520152064.0,520152064.0,520152064.0,134693980584.6222,134693980584.6222,134693980584.6222,134693980584.6222,134693980584.6222
"[143706880.0, 385478912.0, 203854976.0, 237317589.33333334, 79131633.11010611]","[127843072.0, 626638080.0, 214665984.0, 239360947.2, 136502982.73259616]","[131310848.0, 288403200.0, 192733952.0, 199172571.42857143, 44920157.56196091]","[189142016.0, 328553984.0, 283481088.0, 277221741.71428573, 51506768.33207033]",153221120.0,360697088.0,292813056.0,283947168.0,60103407.69161416,219296000.0,575317760.0,281335808.0,298338932.3636364,90825953.01382883,180176128.0,357744896.0,322694912.0,295827712.0,70757778.12404005,241004800.0,364638208.0,286516480.0,298444501.3333333,42686917.62810776,-578670848.0,392252160.0,-93209344.0,-93209344.0,485461504.0,128206848.0,298040064.0,229026048.0,220611404.8,50657552.86295463,155674112.0,570063872.0,228513024.0,257651572.36363637,108340323.49054794,-13487769856.0,335006976.0,203983872.0,-3527099869.866667,5084156715.725136,252187904.0,252187904.0,252187904.0,252187904.0,252187904.0,-1599531008.0,372902912.0,246759424.0,-183277312.0,819343085.8080577,231924992.0,269304064.0,250614528.0,250614528.0,18689536.0
"[-381206016.0, 349361152.0, 200628992.0, 141214756.57142857, 221181409.7899733]","[224623104.0, 540185088.0, 349559040.0, 371455744.0, 129754744.7329044]","[148907008.0, 254174976.0, 237804544.0, 219672768.0, 41577468.39056212]","[149159936.0, 311151104.0, 262771584.0, 246463552.0, 59549760.845822245]",152493824.0,274417920.0,208005504.0,207770464.0,43242651.90299633,249684992.0,367988992.0,288067072.0,289944337.06666666,29095497.399077687,-5920763904.0,253513984.0,168652032.0,-1332486464.0,2649271840.068376,276764928.0,861684224.0,292691968.0,408152832.0,227487046.43206036,301320192.0,445806080.0,344465920.0,357640652.8,47787345.94063806,133526016.0,458381824.0,200378112.0,239333376.0,93553109.09332481,196024832.0,389691904.0,238465408.0,259162112.0,65736796.59685671,-5619141888.0,317750016.0,259859584.0,-496706432.0,1937265413.2280507,30713190217.37256,30713190217.37256,30713190217.37256,30713190217.37256,30713190217.37256,-8638006784.0,285714176.0,-1972674944.0,-2551458773.3333335,2994960138.0626793,151575040.0,242537984.0,209499136.0,200722358.85714287,31475743.976698086
"[-5874757888.0, 320487936.0, 231400960.0, -831862131.2, 2021249169.2028918]","[133757952.0, 314231040.0, 178593024.0, 187644259.55555555, 43187389.18364793]","[130241792.0, 210482944.0, 166192000.0, 173974784.0, 24015724.408591524]","[204688896.0, 275465984.0, 248837504.0, 248285482.66666666, 18214937.093703825]",-19337033984.0,272774912.0,228659968.0,-1986315468.8,5152459306.068914,176500992.0,296574976.0,197899008.0,201544199.75757575,23982835.165709216,105047808.0,614425856.0,161395072.0,230932864.0,142913502.26375076,168803072.0,243290112.0,201418496.0,203472164.57142857,20737993.996003643,-35851763200.0,494860032.0,270243840.0,-1999274590.3157895,8032749584.996382,243291904.0,314464000.0,284668416.0,279685290.6666667,23843422.327818926,152227840.0,296240128.0,188453888.0,195091066.4347826,34987209.347010866,-7861274112.0,717786880.0,183133056.0,-912898627.7647059,2107532373.6158063,-15551668992.0,244559104.0,172052864.0,-3059078058.6666665,5760578598.145124,174099200.0,296110848.0,194236928.0,202695765.33333334,34935242.68950186,187260160.0,260420864.0,259378176.0,235686400.0,34245168.41803659
"[-33104262144.0, 324328960.0, -131241984.0, -6715964235.294118, 9805546218.706043]","[144641024.0, 249419008.0, 181666176.0, 177707099.42857143, 28431958.74852763]","[149911040.0, 504248064.0, 184941056.0, 209711811.7647059, 78741350.85660021]","[-3778669056.0, 643170816.0, 250656256.0, 97032407.04, 798701590.318213]",151579904.0,287951104.0,232603136.0,231172022.85714287,30241681.886684977,174822912.0,246240000.0,194108032.0,197534056.72727272,16987922.361848734,-13815548160.0,654426880.0,115960064.0,-1787886019.764706,3507874715.2159185,180109056.0,232071168.0,194145024.0,201841107.47826087,15899094.137719827,-34223538944.0,370404864.0,255273216.0,-2337499376.9411764,8240920513.379512,-1548175872.0,523449088.0,275451904.0,190324103.52941176,439653390.62323624,152993024.0,232297984.0,180179968.0,185170315.63636363,23096421.073724438,-15250924032.0,247612928.0,-483769088.0,-2463258802.0869565,4123826497.265619,195607040.0,227137024.0,217201152.0,213315072.0,13162096.744943134,-3442767104.0,370839040.0,-552758016.0,-951229842.2857143,1343149689.7003717,221741056.0,308208896.0,282288128.0,273966489.6,30251199.640895918
"[-5191681024.0, 245436928.0, -139163392.0, -988787763.2, 1650448535.020954]","[136643072.0, 196626944.0, 194789120.0, 176019712.0, 27853596.207443234]","[116159232.0, 206176000.0, 181255168.0, 173383168.0, 26554302.297227763]","[224384768.0, 1070519040.0, 252363520.0, 302520704.0, 198992412.10115662]",143326976.0,699078144.0,222769536.0,244713904.0,119950038.02702363,165545216.0,383094016.0,206466048.0,216769981.62962964,47666741.57053848,-8595031808.0,168068864.0,-621571840.0,-2417526656.0,3622403274.779202,181826816.0,237042944.0,201602048.0,204444741.8181818,16181807.48170289,-14686016000.0,408389120.0,-588674816.0,-2320875962.181818,4251776075.8417,-2144470016.0,363739136.0,257842176.0,-242137600.0,891442284.3349574,159224064.0,227132928.0,188960000.0,192829542.4,21732780.417380206,-53320059136.0,210694912.0,-2234942976.0,-9807698139.428572,17046868410.890125,200193024.0,221603072.0,212913920.0,211570005.33333334,8792122.186519679,160356864.0,189947904.0,167489024.0,172597930.66666666,12609073.652650123,-13640505088.0,269130240.0,-1835579136.0,-3610222796.8,5176827937.700561
"[161169152.0, 808614912.0, 301645568.0, 327773030.4, 175328055.9880349]","[168896000.0, 249070080.0, 194428160.0, 199405165.7142857, 25842130.455716167]","[122855936.0, 222622976.0, 173089024.0, 176549947.07692307, 24689372.778028224]","[181991936.0, 225413120.0, 195372032.0, 198525463.27272728, 11723020.943210384]",-23204819200.0,274119936.0,194021120.0,-2744823886.769231,6718958882.702816,199032832.0,268367104.0,236333056.0,234470453.33333334,17922200.430689782,133294848.0,431473920.0,175499904.0,193384391.1111111,65509031.83225345,211805952.0,298370816.0,241944064.0,249387425.68421054,24893511.082064122,-3301629952.0,739506944.0,220708096.0,-56221900.8,1094020884.6802619,-226247936.0,666814976.0,184874496.0,224610069.33333334,224406703.13907772,142638848.0,233431040.0,192984064.0,192712725.33333334,24860446.472098574,-24613222144.0,229462016.0,174624000.0,-1016440821.76,4863548655.747481,184420096.0,184420096.0,184420096.0,184420096.0,184420096.0,147577856.0,235183104.0,179189504.0,187702528.0,29346593.951309945,-104779008.0,302976000.0,248886016.0,131840000.0,179089435.2044258
"[-200339200.0, 349607936.0, 161358464.0, 175783232.0, 136726455.75940633]","[112732928.0, 499085824.0, 187224064.0, 228917845.33333334, 127339354.9011711]","[138376960.0, 230413056.0, 162964992.0, 170002688.0, 31092896.622545056]","[181384960.0, 220109056.0, 195439488.0, 196533299.2, 11794523.84714368]",-26997626880.0,740953088.0,211774080.0,-1956952435.2,6808924646.664781,197457920.0,266248960.0,228127488.0,226543928.8888889,16498123.468562145,107012096.0,278876928.0,165011968.0,166516600.47058824,41638635.941433884,203387136.0,293726976.0,240001536.0,246935003.42857143,23226948.027444765,-8643568896.0,752614912.0,205549056.0,-1868472661.3333333,3114915125.4079533,109671936.0,727123200.0,194038784.0,257077326.76923078,152466358.66816,153986048.0,715220992.0,175955584.0,225369749.33333334,149437816.66878974,-13526075904.0,208564992.0,-623892992.0,-3205321050.352941,4661192989.450853,-33321745920.0,-33321745920.0,-33321745920.0,-33321745920.0,-33321745920.0,156089088.0,226440960.0,183173504.0,185742720.0,23956113.262078553,-64060160.0,402289920.0,93235968.0,131175424.0,202004466.5208897
